	value	unit	system_b
0	0.1603	0.01090000000000002	quantulum3
1	0.013399999999999967	0.00039999999999995595	text-recognizer
2	0.0	0.0	ccg_nlp
3	0.18989999999999996	0.04290000000000005	GPT3
