	P	R	F1	model	type
0	91.3	95.5	93.3	CQE-Numparser	value
1	91.3	95.5	93.3	CQE-Numparser	value+unit
2	91.3	95.5	93.3	quantulum3	value
3	82.6	86.4	84.4	quantulum3	value+unit
4	77.8	95.5	85.7	text-recognizer	value
5	70.4	86.4	77.6	text-recognizer	value+unit
6	65.4	77.3	70.8	ccg_nlp	value
7	42.3	50.0	45.8	ccg_nlp	value+unit
8	92.3	54.5	68.6	GPT3	value
9	92.3	54.5	68.6	GPT3	value+unit
