	value	unit	change	concept_part	concept_comp	system_b
0	0.0	0.0	0.0	0	0	quantulum3
1	0.0	0.0	0.0	0	0	text-recognizer
2	0.0	0.0	0.0	0	0	ccg_nlp
3	0.0	0.0	0.0	0	0	GPT3
