	P	R	F1	model	type
0	85.5	87.6	86.5	CQE-Numparser	value
1	78.2	80.2	79.2	CQE-Numparser	value+unit
2	76.2	92.6	83.6	quantulum3	value
3	56.5	68.6	61.9	quantulum3	value+unit
4	73.6	90.1	81.0	text-recognizer	value
5	44.6	54.5	49.1	text-recognizer	value+unit
6	65.3	77.7	70.9	ccg_nlp	value
7	43.8	52.1	47.5	ccg_nlp	value+unit
8	80.2	80.2	80.2	GPT3	value
9	65.3	65.3	65.3	GPT3	value+unit
