	P	R	F1	model	type
0	91.7	97.1	94.3	CQE-Numparser	value
1	88.9	94.1	91.4	CQE-Numparser	value+unit
2	91.7	97.1	94.3	quantulum3	value
3	61.1	64.7	62.9	quantulum3	value+unit
4	91.9	100.0	95.8	text-recognizer	value
5	91.9	100.0	95.8	text-recognizer	value+unit
6	88.9	94.1	91.4	ccg_nlp	value
7	30.6	32.4	31.4	ccg_nlp	value+unit
8	93.5	85.3	89.2	GPT3	value
9	45.2	41.2	43.1	GPT3	value+unit
