	P	R	F1	model	type
0	82.6	85.9	84.2	CQE-Numparser	value
1	77.7	80.8	79.2	CQE-Numparser	value+unit
2	69.2	84.7	76.2	quantulum3	value
3	29.5	36.1	32.5	quantulum3	value+unit
4	67.4	91.8	77.7	text-recognizer	value
5	45.5	62.0	52.5	text-recognizer	value+unit
6	65.5	70.6	67.9	ccg_nlp	value
7	41.8	45.1	43.4	ccg_nlp	value+unit
8	50.5	54.9	52.6	GPT3	value
9	40.8	44.3	42.5	GPT3	value+unit
